fecha,pasos,distancia_km,ejercicio_min,horas_sueno,calorias,fotos_cantidad,fotos_hora_inicio,fotos_hora_fin,fotos_nombres,evento_titulo,evento_ubicacion,evento_descripcion,evento_hora_inicio,evento_hora_fin,doc_id,doc_titulo,doc_filename,doc_paginas
2018-01-05,0,0,0,0,0,1,12:33,12:33,908.jpg,,,,,,,,,
2023-09-23,0,0,0,0,0,1,11:41,11:41,"Cristiano_Ronaldo_playing_for_Al_Nassr_FC_against_Persepolis,_September_2023_(cropped).jpg",,,,,,,,,
2023-10-11,0,0,0,0,0,2,00:07,00:07,1162400.jpg; 1162388.jpg,,,,,,,,,
2023-10-22,0,0,0,0,0,9,10:04,10:18,"DALL·E 2023-10-22 10.04.51 - Photo of a thrilling soccer scene where a player dressed in white is taking a spectacular shot with full force. Simultaneously, a goalkeeper wearing b.png; DALL·E 2023-10-22 10.04.52 - Photo depicting a dramatic moment in a soccer match where a player in a white jersey is in mid-air, executing a powerful kick towards the goal, while.png; DALL·E 2023-10-22 10.07.56 - 2k resolution desktop background primarily in black, showcasing an abstract design composed of triangles with vibrant red accents.png; DALL·E 2023-10-22 10.07.58 - High-quality 2k PC wallpaper that boasts a sleek black canvas, adorned with geometric triangles and highlighted with bold red elements.png; DALL·E 2023-10-22 10.07.57 - Desktop wallpaper with a resolution of 2k, where the primary color is black, and it is decorated with an array of triangular shapes, with some of them.png; DALL·E 2023-10-22 10.10.51 - Photo of two boxers in the middle of a fierce battle inside a boxing ring, with the crowd in the background cheering.png; DALL·E 2023-10-22 10.10.59 - Cartoon illustration of two boxers squaring off in a ring, with exaggerated features and dynamic action poses.png; DALL·E 2023-10-22 10.11.03 - Claymation style depiction of two boxers, molded from plastilina, exchanging punches in a colorful ring setting.png; DALL·E 2023-10-22 10.18.33 - Pastel green emblem featuring two &#x27;O&#x27; letters intertwined to resemble an apple. A subtle accent on top serves as a leaf, and the overall design has a.png",,,,,,,,,
2024-05-12,0,0,0,0,0,8,16:12,16:18,richard-horvath-_nWaeTF6qo0-unsplash.jpg; space-3840x2160-galaxy-25839.jpg; waves-3840x2160-black-orange-26069.jpg; sunset-3840x2160-dark-4k-24116.jpg; galaxy-3840x2160-space-4k-20329.jpg; macos-rancho-cucamonga-5120x2880-dark-apple-os-x-rancho-cucamonga-24887.jpg; forest-3840x2160-fog-25743.jpg; moon-3840x2160-white-25647.jpg,,,,,,,,,
2025-01-12,0,0,0,0,0,9,16:53,17:14,leaves-3840x2160-5k-4k-wallpaper-macro-purple-5323.jpg; balls-3840x2160-glass-colorful-25516.jpg; balls-3840x2160-glass-colorful-255162.jpg; waves-3840x2160-colorful-26008.jpg; colorful-3840x2160-waves-25691.jpg; iphone-15-3840x2160-stone-black-25559.jpg; northern-lights-3840x2160-sky-winter-mountains-5k-17156.jpg; durdle-door-3840x2160-5k-4k-wallpaper-beach-night-stars-sea-england-11906.jpg; iphone-15-copia.jpg,,,,,,,,,
2025-09-13,8073,6.7,0,0,1239783,0,,,,,,,,,,,,
2025-09-14,8618,6.39,37,0,2376485,0,,,,,,,,,,,,
2025-09-15,29650,23.18,124,0,3249488,0,,,,,,,,,,,,
2025-09-16,27472,21.13,114,1.9,3186465,0,,,,,,,,,,,,
2025-09-17,30351,23.58,128,0,3245788,0,,,,,,,,,,,,
2025-09-18,19095,14.61,80,0,2762403,0,,,,,,,,,,,,
2025-09-19,15281,11.64,67,0,2681647,0,,,,,,,,,,,,
2025-09-20,25435,19.44,106,0,3170263,0,,,,,,,,,,,,
2025-09-21,21902,16.45,91,0,2965376,0,,,,,,,,,,,,
2025-09-22,28486,22.15,118,0,3191823,0,,,,,,,,,,,,
2025-09-23,18812,14.54,78,0,2720558,0,,,,,,,,,,,,
2025-09-24,15739,12.14,67,0,2623728,0,,,,,,,,,,,,
2025-09-25,26394,20.52,111,0,3041922,0,,,,,,,,,,,,
2025-09-26,16958,12.86,70,0,2754620,0,,,,,,,,,,,,
2025-09-27,14777,10.88,62,0,2728467,0,,,,,,,,,,,,
2025-09-28,23430,18.23,99,0,3014620,0,,,,,,,,,,,,
2025-09-29,22522,17.54,96,0,2946495,0,,,,,,,,,1,Estructura_propuesta_proyecto (1),0000001.pdf,1
2025-09-30,20994,16.28,87,0,2847368,5,16:22,17:55,spaghetti.webp; perro.webp; 20172sabercomprar_carne.webp; carnee.png; cielo.webp,,,,,,,,,
2025-10-01,33783,26.27,141,0,3424522,0,,,,,,,,,,,,
2025-10-02,35192,27.7,156,0,3432559,0,,,,,,,,,,,,
2025-10-03,10538,8.11,74,0,2711245,0,,,,,,,,,,,,
2025-10-04,19004,14.48,84,0,2874159,0,,,,,,,,,,,,
2025-10-05,16161,12.63,91,0,2966524,0,,,,,,,,,,,,
2025-10-06,29316,22.72,122,0,3278575,0,,,,,,,,,,,,
2025-10-07,20296,15.72,84,0,2838821,0,,,,,,,,,,,,
2025-10-08,25316,19.75,106,0,3012579,2,20:00,20:00,descarga.jpg; images.webp,,,,,,,,,
2025-10-09,13371,10.26,57,0,2550116,1,01:30,01:30,hola.jpg,,,,,,,,,
2025-10-10,19895,12.64,72,0,2790597,0,,,,,,,,,,,,
2025-10-11,19189,14.25,80,0,2855150,0,,,,,,,,,,,,
2025-10-12,14229,8.48,49,0,2540165,0,,,,,,,,,,,,
2025-10-13,21129,16.26,88,7.1,2989615,0,,,,uni,no tiene,no tiene,08:00,08:30,5,aso-grau-10-tardor24-25-parcial1-1,0000005.pdf,8
2025-10-13,21129,16.26,88,7.1,2989615,0,,,,,,,,,4,Networks - 07-Networking_en,0000004.pdf,69
2025-10-14,27921,12.21,35,7.57,3471661,0,,,,,,,,,,,,
2025-10-15,23119,10.69,68,0,3509298,0,,,,,,,,,,,,
2025-10-16,22252,9.79,0,6.88,2998801,1,14:15,14:15,Captura de pantalla 2025-10-16 141547.png,,,,,,,,,
2025-10-17,17592,8.51,0,5.75,2963080,0,,,,,,,,,,,,
2025-10-18,11004,4.78,69,0,2883596,2,13:16,18:19,Captura de pantalla 2025-10-18 131610.png; Imagen de WhatsApp 2025-10-18 a las 18.19.32_73f52b35.jpg,,,,,,,,,
2025-10-19,9081,3.46,0,8.68,2348801,0,,,,,,,,,,,,
2025-10-20,25495,11.47,0,7.9,3191313,0,,,,,,,,,,,,
2025-10-21,40469,18.32,40,7.1,4164851,0,,,,,,,,,,,,
2025-10-22,27717,12.88,41,6.33,3670957,0,,,,,,,,,,,,
2025-10-23,22971,11.34,0,8.38,3152785,0,,,,,,,,,,,,
2025-10-24,9646,7.97,0,0,2751048,0,,,,,,,,,,,,
2025-10-25,9931,8.12,117,7.25,3376836,0,,,,,,,,,,,,
2025-10-26,10898,5.01,0,7.75,2537359,0,,,,,,,,,,,,
2025-10-27,33609,16.15,60,0,3928410,0,,,,,,,,,,,,
2025-10-28,19084,12.78,59,6.85,3423545,0,,,,,,,,,,,,
2025-10-29,26352,13.07,0,0,3443786,0,,,,,,,,,,,,
2025-10-30,8053,4.09,133,0,2990579,0,,,,,,,,,,,,
2025-10-31,9066,4.07,0,16.45,2498958,3,11:47,11:55,download.jpg; 16245558914634.jpg; 30627f237982b80399f5d2db0c8daeeea38a5950.jpg,Cena con florentino,no tiene,no tiene,20:00,22:00,,,,
2025-10-31,9066,4.07,0,16.45,2498958,3,11:47,11:55,download.jpg; 16245558914634.jpg; 30627f237982b80399f5d2db0c8daeeea38a5950.jpg,FC barcerlona femenino,no tiene,no tiene,12:00,13:00,,,,
2025-10-31,9066,4.07,0,16.45,2498958,3,11:47,11:55,download.jpg; 16245558914634.jpg; 30627f237982b80399f5d2db0c8daeeea38a5950.jpg,Club de running,no tiene,no tiene,10:00,11:00,,,,
2025-11-01,9415,4.11,0,0.65,2467702,0,,,,,,,,,,,,
2025-11-02,7407,5.12,162,6.65,3259717,0,,,,,,,,,,,,
2025-11-06,0,0,0,0,0,0,,,,cumpleaños pascuuuu,no tiene,no tiene,00:00,24:00,,,,
2025-11-07,0,0,0,0,0,0,,,,sdfasdf,no tiene,no tiene,00:00,24:00,,,,
2025-11-08,0,0,0,0,0,0,,,,adsfa,no tiene,no tiene,00:00,24:00,,,,
2025-11-13,0,0,0,0,0,0,,,,dariogonzalez,no tiene,no tiene,00:00,24:00,,,,
2025-11-14,0,0,0,0,0,0,,,,felipeeee,no tiene,no tiene,10:00,13:00,,,,
2025-11-15,0,0,0,0,0,0,,,,darioooooooooooASDFASDFDASFASFASDFASFFSFDDDDDDT&/(%&(%&(%&(%&(%(,barceloma,sfgsdfgsdfgsdfgsdfgsdgsdfgsdfgsdgsdfgsdffffffffffffffffffffffff,12:00,16:00,,,,
2025-11-16,0,0,0,0,0,0,,,,cumpleaños marta,no tiene,no tiene,00:00,24:00,,,,
2025-11-26,0,0,0,0,0,2,11:41,12:06,16265320344770.jpg; image.png,,,,,,,,,
2025-11-27,0,0,0,0,0,0,,,,presentación,no tiene,no tiene,17:00,18:00,,,,
